id,type,name
,referred_to,Heritage Residential Treatment Center
,referred_to,Muscular Dystrophy Association of Utah
,referred_to,Online Court Assistance Program
,referred_to,Legal Match
,referred_to,Welcome Baby Health Department  801-851-7059
,referred_to,Central Utah Enterprises  801-375-0414 (disability)
,referred_to,Alpine Transition and Employment
,referred_to,Utah Foster Care Foundation
,referred_to,Better Business Bureau
,referred_to,Family to Family Network
,referred_to,LDS Humanitarian
,referred_to,LDS Employment  801-818-6161
,referred_to,ASQ
,referred_to,NAMI
,referred_to,Utah State Government Office
,referred_to,American Pediatric Website
,referred_to,Alpine School District 801-756-8400
,referred_to,Provo School District  801-374-4840
,referred_to,Nebo School District  801-354-7400
,referred_to,Kindergarten Readiness Materials.
,referred_to,Audiologist Listing of Utah County
,referred_to,Autism Council of Utah  801-913-6203
,referred_to,Easter Seals PLAY Project  801-536-7065
,referred_to,Center for Women and Children in Crisis (CWCIC)
,referred_to,WIC American Fork 801-851-7320
,referred_to,WIC Heber 435-657-3266
,referred_to,WIC Orem 801-851-7340
,referred_to,WIC Payson 801-851-7360
,referred_to,WIC Provo 801-851-7300
,referred_to,Ability Found  801-261-5738 (Ernest Robinson)
,referred_to,The Center  801-852-7635 (after school)
,referred_to,Health Resource Line  1-888-222-2542
,referred_to,ASQ SE
,referred_to,"Activities, ASQ3 Activities"
,referred_to,Informational resources
,referred_to,Close File
,referred_to,Robert G. Sanderson Community Center for the Deaf & Hard of Hearing
,referred_to,Intermountain West Interpreters.
,referred_to,The Utah Family Academy (801) 377-5050
,referred_to,CHADD 801-789-3952
,referred_to,LifeStar-801-318-5378 C
,referred_to,Sons of Helaman-877-hero877
,referred_to,Welcome Baby UWAY 801-691-5320
,referred_to,Family Justice Center-UCHD Tuesday evenings
,referred_to,Interoffice
,referred_to,"Utah Parent Center 801 272 1051, 800 468 1160"
,referred_to,Follow up Nutrition Clinic
,referred_to,"Children's Center, SLC"
,referred_to,Primary Children's Hospital
,referred_to,Baby Your Baby  801-851-7033
,referred_to,UTA Bus
,referred_to,Cast for Kids
,referred_to,The Green House Center for Change and Learning
,referred_to,Healthcare Provider
,referred_to,Military Resources
,referred_to,"Bridges, KOTM  801-616-5800"
,referred_to,Harmony Music Therapy 801-718-7637
,referred_to,Mountainland Aging (801) 229-3800
,referred_to,Parents as Teachers (PAT)
,referred_to,Open File
,referred_to,South Valley Sanctuary West Jordan: Main/24hr: (801) 255-1095
,referred_to,Alpine Assessment Center  801-763-7952
,referred_to,Center for Change
,referred_to,Grandfamilies of Utah County  (801) 373-4765
,referred_to,Aquatic Therapy Easter Seals
,referred_to,The Children's Center 801-582-5534
,referred_to,"UniHOME Program 801-581-5515 DebBilder, MD"
,referred_to,"Mountainland Family Health Center, 801-429-2000"
,referred_to,Orem Literacy Center 801-221-5844
,referred_to,U Can Learn 801-281-5546
,referred_to,Utah County Health Promotions-Car Seats 801-851-7035
,referred_to,Sub for Santa 801-356-6200
,referred_to,Utah State Office of Education
,referred_to,Child Development Clinic SLC 888-222-2542
,referred_to,Children with Special Health Care Needs 801-584-8284
,referred_to,Other
,referred_to,Pediatrician/Primary Care Provider
,referred_to,Springville Family Center 801-971-7751
,referred_to,Wiggly Worm-Sensory Processing Class 801-946-1860
,referred_to,Provo City Library
,referred_to,Spanish Fork Library
,referred_to,Specialist
,referred_to,Provo School District Preschool 801-374-4915
,referred_to,Alpine School District Preschool 801-756-8572
,referred_to,Nebo School District Preschool 801-491-2165
,referred_to,Ready to Learn Class/Website
,referred_to,Social Worker
,referred_to,Timpanogos Legal Center  801-722-5804
,referred_to,Parent Mentor
,referred_to,UVU Continuing Education
,referred_to,Catholic Community Services
,referred_to,Ecclesiastical Leader
,referred_to,Headstart
,referred_to,Early Headstart (801-221-9930 Ronnie)
,referred_to,Ipromise Foundation 801-472-9780
,referred_to,InfantSee 888-396-3937
,referred_to,Dan Peterson School
,referred_to,Now I Can Foundation Tracey 376-4588
,referred_to,Library
,referred_to,Hoofbeats to Healing 801-836-4325
,referred_to,Utah Baby Watch
,referred_to,South Franklin Community Center 801-374-2588
,referred_to,Lehi Legacy Center 801-768-7124
,referred_to,Utah Family Academy 801-377-5050
,referred_to,Autism Journeys Treatment Center 801-766-8681
,referred_to,Ability First Provo 801-373-5044 x205
,referred_to,Springville Museum of Art 801-489-2727
,referred_to,Able-Differently 801-520-7376
,referred_to,Tooele County School District 435-833-1900
,referred_to,Easter Seals-Goodwill
,referred_to,DDI Vantage
,referred_to,Protective Factors Survey
,referred_to,Allies with families 877-477-0764
,referred_to,School District
,referred_to,Holy Cross Ministries 801-261-3440 x748
,referred_to,Legal Aid Society of Salt Lake
,referred_to,Orem City Recreation
,referred_to,Recreation Center
,referred_to,"Cornerstone Counseling Center, 801-355-2846"
,referred_to,University of Utah
,referred_to,"Intermountain Pediatric Rehab, Orem, 801-714-3505"
,referred_to,"Utah center for Assistive Technology, 801-887-9380"
,referred_to,"Family Academy, 801-377-5050"
,referred_to,"Stride Program, Wasatch Mental, 801-852-4474"
,referred_to,Granite School District Preschool
,referred_to,Splore
,referred_to,United Angels Foundation
,referred_to,Family Resource Facilitator
,referred_to,"Conscious Fathering,  Utah County"
,referred_to,Kearns Library Autism Group
,referred_to,"Wasatch Mental Health, Provo Family Clinic, 801-373-4765"
,referred_to,BYU Speech and Language Diagnostic Testing
,referred_to,"GIANT Steps, Kyle Bringhurst at 226-5437"
,referred_to,BYU Neurophysch Clinic 801-422-7759
