Follow-up ID,Parent ID,HMG Contact,Referral Date,Referral,Notes,Why Follow-up,Follow-up Date,Done,Result,Child ID
144,1161,RobinL,2010-05-05,Community Health Connect  801-818-3015,Father in law died this week; pt will call in 2-3 weeks,Connected?,2010-05-28,1,Information received by client,
151,1154,RobinL,2010-05-20,Interoffice,Amy is finding new peds/will contact UW w/name/number,Connected?,2010-06-03,1,Complete,
159,1158,RobinL,2010-05-25,Interoffice,LM: what are mom's concerns; how can HMG help,Research,2010-05-28,1,Client cannot be reached,
162,1121,RobinL,2010-06-05,BYU Comprehensive Clinic 801-422-7759,FU at playgroup or w/Isabel Castro,Connected?,2010-07-15,1,Left Message,
164,1155,StephanieI,2010-05-25,Informational resources,updated Parenting/Prenatal Class referral list; LM: re assessing situation/legal requirements,Connected?,2010-05-28,1,Education through HMG,
171,1168,StephanieI,2010-05-28,Informational resources,Early Intervention-Weber school district; Kaydence seems to be behind in speech. Aunt wants to have a language tested,Connected?,2010-06-04,1,Complete,
172,1166,StephanieI,2010-05-27,Welcome Baby UWAY 801-691-5320,"Family was just interested in all programs for parents in the area.  Thought Welcome Baby would be a good start.  If they are interested in others, be ready to give more.",Connected?,2010-06-04,1,No follow through by client,
176,1166,DeborahW,2010-08-23,Informational resources,"Send HMG info, ASQ at baby's age 1 mo",Connected?,2010-08-25,1,Information received by client,
178,1163,DeborahW,2010-09-30,Welcome Baby UWAY 801-691-5320,set time to call back when infant is 1 mo,Connected?,2010-09-30,1,Complete,
184,1167,BarbaraL,2010-05-28,Informational resources,Texted. Will try to recall to connect with parent.,Connected?,2010-05-28,1,Left Message,
200,1122,BarbaraL,2010-06-01,Informational resources,Checked with parent on receiving services from PEIP,Verify Improvement,2010-06-15,1,Complete,
201,1121,RobinL,2010-06-15,Welcome Baby UWAY 801-691-5320,HV visits continue 2x/month. Erika referred to BYU Comprehensive Clinic for self,Verify Improvement,2010-06-15,1,Received service,
215,1169,RobinL,2010-06-03,Specialist,"case manager: parent has received info she needs for now, will contact Ms. Thompson directly as needed.",Connected?,2010-06-11,1,Received service,
221,1173,LanaeF,2010-06-10,Informational resources,Robin is required to take a parenting class because is working with DWFS.  Wants a follow up call in one week to make sure she got the classes she wanted.,Connected?,2010-06-17,1,Complete,
233,1142,RobinL,2010-06-01,Interoffice,"TC: completed CNA licensing, applying for jobs",Verify Improvement,2010-07-15,1,Complete,
247,1174,StephanieI,2010-06-16,Welcome Baby UWAY 801-691-5320,Will sign up online,Connected?,2010-06-23,1,Complete,
248,1174,StephanieI,2010-06-16,Pregnancy Resource Center  801-221-2591,"Wants to start collecting ""mommy-dollars""",Connected?,2010-06-23,1,Complete,
323,1226,BarbaraL,2010-07-01,Interoffice,Son-14-16 mos old.Needs Crib and other needs f,Research,2010-07-08,1,Complete,
361,1227,RobinL,2010-07-02,Informational resources,autism resources. Assess usefulness of resources,Connected?,2010-07-08,1,Information received by client,
368,1227,RobinL,2010-07-06,"Utah Parent Center 801 272 1051, 800 468 1160",not interested at this time,Connected?,2010-07-20,1,Parent not interested in service,
369,1227,RobinL,2010-07-06,Nebo School District  801-354-7400,Nebo Autism Group. Not interested at this time,Connected?,2010-07-20,1,Parent not interested in service,
388,1174,StephanieI,2010-07-06,Pregnancy Resource Center  801-221-2591,Call back to make sure connection was made with WB and PRC,Connected?,2010-07-08,1,Complete,
389,1173,LanaeF,2010-07-06,Informational resources,She will call back if she needs more resources.,Connected?,2010-08-03,1,Complete,
403,1223,BarbaraL,2010-07-26,Interoffice,Received information and just want ASQ sent to her on regular basis.,Connected?,2010-07-26,1,Information received by client,
412,1119,RobinL,2010-07-06,"Turning Point  801-863-7580 (childcare, GED)","Schooling for mom. Turning Point for FAFSA, peggy pasin UVU--mom has applied, plans on UVU. form filled out?",Connected?,2010-07-17,1,Received service,
413,1168,StephanieI,2010-07-06,Informational resources,Call back to make sure connection was made,Connected?,2010-07-08,1,Complete,
426,1122,BarbaraL,2010-07-02,PEIP  801-852-4525 (Beri),Call to check progress with EI,Verify Improvement,2010-07-09,1,Complete,
430,1174,StephanieI,2010-07-08,Pregnancy Resource Center  801-221-2591,"Call back one more time.  If she does not pick up, close her out.",Connected?,2010-08-09,1,Complete,
431,1168,StephanieI,2010-07-08,Informational resources,Called to follow up on connection to early intervention.  She has not called them yet.  Gave the phone number to her again.  She does not want us to follow up with them later.,Connected?,2010-07-08,1,Complete,
434,1140,RobinL,2010-07-09,Interoffice,check speech improvement (has IEP Provo SD),Verify Improvement,2010-08-15,1,Complete,
459,1142,RobinL,2010-07-15,Interoffice,"also interviewed at DI, will take that job if offered",Connected?,2010-08-01,1,Received service,
463,1167,BarbaraL,2010-06-15,Informational resources,Sent email to doctor with detailed referrals and hope information will be conveyed to family.,Connected?,2010-07-14,1,"Other, see notes",
464,1167,BarbaraL,2010-07-14,Informational resources,Sent email to doctor. Delivered information to doctor through Susan Chassom's nurse.  Will give packet to mom on next visit.Will try to give referrals to doctor for support with grieving and autism,Connected?,2010-07-16,1,Information received by client,
468,1231,StephanieI,2010-07-16,Alpine School District 801-756-8400,Attachment challenges; called w/no response,Connected?,2010-07-23,1,Information received by client,
486,1231,RobinL,2010-07-20,Interoffice,Brenda Chabot 801-427-9111--no return call from B. Charbot,Research,2010-07-23,1,Agency has not returned client’s call,
487,1231,RobinL,2010-07-20,The Green House Center for Change and Learning,Greenhouse accepting new pts/attachment/fostering/in PG,Connected?,2010-07-23,1,Information received by client,
495,1231,RobinL,2010-08-02,BYU Comprehensive Clinic 801-422-7759,"Refer to social group to continue SLC therapy,wants skills grp here",Connected?,2010-08-30,1,Information received by client,
497,1230,RobinL,2010-07-15,Kids Who Count 801-423-3000 (Liz),,Verify Improvement,2010-08-05,1,Received service,
546,1161,RobinL,2010-08-02,Community Health Connect  801-818-3015,"RA is OK now, cancer worse/q6wk scans",Connected?,2010-08-09,1,Resources exhausted,
548,1166,RobinL,2010-08-02,Interoffice,Family moved to Tooele Co. CLOSED,Update Family Information,2010-08-02,1,Client cannot be reached,
550,1231,RobinL,2010-08-02,Kids on the Move  801-221-9930 (Eileen Chamberlain),,Connected?,2010-08-30,1,Complete,
555,1236,BarbaraL,2010-08-03,Interoffice,Check on ASQ and ASQ/SE-Child's name and b-date,Research,2010-08-10,1,Complete,
558,1236,BarbaraL,2010-08-03,Headstart,Preschools,Connected?,2010-10-01,1,Information received by client,
560,1140,RobinL,2010-11-01,Interoffice,improved but still poss delay,Verify Improvement,2010-11-01,1,Complete,
562,1142,RobinL,2010-08-02,Specialist,Brenda Chabot 801-427-9111-- Scheduled to apply for med/MH care at Wellness Recovery 8/9/2010,Connected?,2010-08-10,1,Complete,
575,1241,RobinL,2010-08-06,"Turning Point  801-863-7580 (childcare, GED)",GED no funding for testing,Connected?,2010-09-13,1,Information received by client,
577,1238,RobinL,2010-08-06,Interoffice,Family needs to decide on issue. Unable to contact x3,Other,2010-11-20,1,No response from family,
578,1239,RobinL,2010-08-06,Interoffice,sent social skills email,Research,2010-08-13,1,Complete,
582,1120,BarbaraL,2010-08-02,Welcome Baby UWAY 801-691-5320,Will make a welcome baby visit 8/10/2010,Update Family Information,2010-08-10,1,Complete,
597,1244,BarbaraL,2010-08-12,NAMI,Mom is court ordered for parenting classes and na.,Research,2010-08-19,1,Complete,
598,1244,BarbaraL,2010-08-12,Alpine School District 801-756-8400,,Connected?,2010-08-19,1,Complete,
599,1244,BarbaraL,2010-08-12,Pregnancy Resource Center  801-221-2591,,Connected?,2010-08-19,1,Complete,
600,1244,BarbaraL,2010-08-12,UVU Continuing Education,,Connected?,2010-08-19,1,Complete,
601,1244,BarbaraL,2010-08-12,Utah County government department,substance abuse.,Connected?,2010-08-19,1,Complete,
613,1244,BarbaraL,2010-08-12,Lehi Legacy Center 801-768-7124,Mom connected into classes at Legacy,Connected?,2010-08-19,1,Received service,
614,1120,BarbaraL,2010-08-17,Center for Women and Children in Crisis (CWCIC),Divorce counseling,Connected?,2010-08-20,1,No response from family,
616,1239,RobinL,2010-08-16,CHIP  801-342-2600 (DWS),mom does not want G'mother involved in therapy,Connected?,2010-08-31,1,Complete,
622,1180,RobinL,2010-08-19,Interoffice,"for Omari & Justus; compare 60mo, f/u stutter---email sent 10/26",Other,2010-10-20,1,Complete,
629,1245,BarbaraL,2010-08-23,Interoffice,"Gave mom number for Family Development specialist  Kelly-691-5234, Loanne-691-5321",Research,2010-08-30,1,Information received by client,
631,1166,DeborahW,2010-08-23,Interoffice,"need new address, called left message",Update Family Information,2010-08-25,1,Client cannot be reached,
649,1239,RobinL,2010-08-27,Welcome Baby UWAY 801-691-5320,"taking 2 parenting classes, is pleased",Connected?,2010-10-27,1,Complete,
650,1245,RobinL,2010-08-27,Community Action Food Bank  801-373-8200,Gave Lo Ann's # Community Action,Connected?,2010-08-30,1,Complete,
651,1121,RobinL,2010-08-27,BYU Comprehensive Clinic 801-422-7759,"What information do they need? Parents separated, restr. Order against father. Isabel Castro HMG HV801-607 2901",Connected?,2010-08-27,1,Left Message,
654,1231,RobinL,2010-08-27,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services),Registered? CPR Training 801-852-1482,Connected?,2010-08-30,1,Complete,
663,1245,BarbaraL,2010-08-30,Department of Workforce Services,Gave website to apply for TANF.,Connected?,2010-09-02,1,Complete,
665,1253,RobinL,2010-08-31,United Angels Foundation,United Angels Foundation --van found? No,Connected?,2010-09-15,1,Complete,
666,1253,RobinL,2010-08-01,Ability Found  801-261-5738 (Ernest Robinson),van found? No,Connected?,2010-09-15,1,Complete,
669,1252,RobinL,2010-08-27,American Cancer Society,needs car payment paid,Connected?,2010-09-15,1,Information received by client,
670,1252,RobinL,2010-08-27,Cancer Wellness House 801-236-2294,,Connected?,2010-09-15,1,Complete,
671,1252,RobinL,2010-08-27,Cancer Survivorship Series 801-507-3800,,Connected?,2010-09-15,1,Complete,
672,1252,RobinL,2010-08-30,Living Well w/CA group Michele Dabrowski 801-450-4999,,Connected?,2010-09-15,1,Complete,
680,1255,BarbaraL,2010-08-31,Kids on the Move  801-221-9930 (Eileen Chamberlain),Dad is dealing with divorce and co-parenting and needs help,Connected?,2010-01-03,1,Complete,
681,1255,BarbaraL,2010-08-31,BYU Comprehensive Clinic 801-422-7759,,Connected?,2010-01-03,1,Complete,
682,1255,BarbaraL,2010-08-31,UVU Continuing Education,,Connected?,2010-01-03,1,Complete,
683,1255,BarbaraL,2010-08-31,Alpine School District 801-756-8400,,Connected?,2010-01-03,1,No response from family,
694,1117,DeborahW,2010-08-27,Informational resources,CPR Class/Crucial Conversations,Connected?,2010-09-03,1,Information received by client,
696,1136,DeborahW,2010-08-27,Informational resources,CPR class/ Crucial conversation,Connected?,2010-09-03,1,No response from family,
699,1257,DeborahW,2010-09-02,Early Headstart (801-221-9930 Ronnie),what did they learn from Ronnie,Connected?,2010-09-08,1,Service Not Received,
700,1257,DeborahW,2010-09-02,Provo School District  801-374-4840,,Connected?,2010-09-08,1,No response from family,
702,1257,DeborahW,2010-09-02,Informational resources,parenting classes,Connected?,2010-09-08,1,Complete,
706,1250,BarbaraL,2010-09-01,Interoffice,follow up to see if connected,Connected?,2010-09-08,1,Parent Pending,
707,1245,BarbaraL,2010-08-31,Interoffice,"talked DWS, to have medical extension should be sending a form.",Research,2010-09-03,1,Complete,
708,1248,BarbaraL,2010-09-03,Interoffice,Sent the ASQ to daycare provider to use to check development on child in care,Send Paper Screening,2010-09-10,1,Complete,
729,1260,DeborahW,2010-09-14,Interoffice,"called second time, left message, need more info about her children to send out ASQs",Research,2010-09-20,1,Left Message,
730,1257,DeborahW,2010-09-14,Informational resources,"called to verify they had been connected to the resources, they talked to people, but Kalie doesn’t qualify",Connected?,2010-09-14,1,Complete,
735,1263,RobinL,2010-09-20,Informational resources,"mom is searching information for behavioral resources, will call",Connected?,2010-09-30,1,Education through HMG,
755,1117,DeborahW,2010-09-23,Interoffice,Called to check if they still want ASQs,Still interested?,2010-09-30,1,No response from family,
757,1260,DeborahW,2010-09-23,Interoffice,email to get the info. Mail out ASQs once info is entered,Update Family Information,2010-09-27,1,Information received by client,
763,1245,BarbaraL,2010-09-23,Department of Workforce Services,"Left message,DWS, DWS sent form on 8/30. Form sent Workability Report.",Connected?,2010-09-23,1,Service Not Received,
765,1270,BarbaraL,2010-09-24,Informational resources,Check to see if client was connected,Connected?,2010-10-01,1,Education through HMG,
773,1160,RobinL,2010-09-23,Nebo School District  801-354-7400,Behavioral assessment scheduled for 11/5,Connected?,2010-12-09,1,Appointment scheduled,
774,1269,CatieV,2010-09-22,Interoffice,"VM today, get resources ASAP",Research,2010-09-29,1,Left Message,
798,1273,BellaG,2010-10-05,BYU Comprehensive Clinic 801-422-7759,check to see if she contacted BYU,Connected?,2010-10-06,1,Complete,
799,1274,DeborahW,2010-10-05,Community Action Food Bank  801-373-8200,Comm. Action sometimes has diapers. Needs to sign up and meet with a councelor to see if she qualifies,Connected?,2010-10-11,1,Service Not Received,
800,1274,DeborahW,2010-10-05,Deseret Industries  801-373-7920,inex. Baby clothes,Connected?,2010-10-11,1,Parent not interested in service,
801,1274,DeborahW,2010-10-05,BYU Comprehensive Clinic 801-422-7759,marriage counseling - divorce finalized in october.,Connected?,2010-10-11,1,Information received by client,
805,1273,BellaG,2010-10-06,Interoffice,Called her back but the number she gave was not hers,Verify Improvement,2010-10-08,1,Complete,
808,1278,BarbaraL,2010-10-06,Department of Workforce Services,Gave # for emergency medicaid.,Connected?,2010-10-11,1,Information received by client,
809,1278,BarbaraL,2010-10-06,Informational resources,US Uninsured Help Line™—800.234.1317-- mom will call to see if option. Gave # for US hotline.,Connected?,2010-10-11,1,Information received by client,
810,1278,BarbaraL,2010-10-08,Specialist,Payson Family Health Center See if mom connected to resources,Connected?,2010-10-11,1,Information received by client,
811,1271,BarbaraL,2010-10-11,Interoffice,See if she connected into resources,Connected?,2010-10-18,1,No response from family,
812,1269,CatieV,2010-10-11,Informational resources,"LM today, contact ASAP, VM with Daniel BS",Update Family Information,2010-10-11,1,Left Message,
813,1272,DeborahW,2010-10-08,Informational resources,"Nadine didn't want to give specific info on her daughter, they're still needing respite care ideas in SL area. Referred them to 211 SL  and to call us if they need anything else.",Verify Improvement,2010-11-01,1,Parent not interested in service,
819,1252,RobinL,2010-08-30,Living Well w/ Cancer,"Brenda now sick, behind on resource use",Verify improvement,2010-10-10,1,No response from family,
820,1252,RobinL,2010-08-30,Caregiver Group,,,2010-10-10,1,Information received by client,
821,1252,RobinL,2010-08-30,American Cancer Society,Brenda doesn't know if source has been used,Connected?,2010-10-10,1,No follow through by client,
822,1252,RobinL,2010-08-30,American Cancer Society,Brenda working with this one,Connected?,2010-10-10,1,Information received by client,
823,1231,RobinL,2010-09-20,Specialist,Orem Comm Hosp -OT therapy assess. Assessment completed,Verify Improvement,2010-10-30,1,Complete,
824,1231,RobinL,2010-10-13,Specialist,Alpine S D Psychologist  801-610-8170  assessment 11/10/2010,Connected?,2010-10-30,1,Complete,
829,1279,BarbaraL,2010-10-14,Interoffice,Find out district and give number of social worker.,Research,2010-10-15,1,Information received by client,
831,1274,DeborahW,2010-10-14,Pregnancy Resource Center  801-221-2591,has been working with them already.,Connected?,2010-10-14,1,Resources exhausted,
832,1274,DeborahW,2010-10-14,Interoffice,She's used or currently using all resources available.,Research,2010-10-14,1,Resources exhausted,
836,1248,BarbaraL,2010-09-03,Community Action Food Bank  801-373-8200,check needs,Verify Improvement,2010-09-03,1,Complete,
840,1280,DeborahW,2010-10-18,Interoffice,talked to susan. They found the resources they needed.,Research,2010-10-21,1,Complete,
842,1163,DeborahW,2010-10-18,Welcome Baby UWAY 801-691-5320,Courtney called her and left message,Connected?,2010-10-29,1,Client cannot be reached,
846,1241,RobinL,2010-10-19,Other,Qwest --Community Action mtg 11/29 needs cost of test,Connected?,2010-11-26,1,Information received by client,
848,1120,BarbaraL,2010-10-22,Interoffice,Will visit with Mom to try to set up appt with Turning Points,Other,2010-11-01,1,Information received by client,
861,1241,RobinL,2010-10-20,Provo School District  801-374-4840,GED class available at Provo,Connected?,2010-11-28,1,No response from family,
863,1300,DeborahW,2010-12-15,Interoffice,,Still interested?,2010-12-16,1,No response from family,
871,1239,RobinL,2010-10-26,Welcome Baby UWAY 801-691-5320,wants 1 time visit,Connected?,2010-11-15,1,Complete,
879,1304,DeborahW,2010-10-26,Community Action Food Bank  801-373-8200,Research more,Connected?,2010-10-28,1,No follow through by client,
880,1304,DeborahW,2010-10-26,Community Action Food Bank  801-373-8200,Research more - she said that CA was very rude to her. I encouraged her to try again. See if maybe they could be more creative for her situation.,Connected?,2010-10-28,1,No follow through by client,
882,1274,DeborahW,2010-10-28,Informational resources,Sent 1 year chapter from Touchpoints and information on literacy.,Verify Improvement,2010-10-29,1,Information received by client,
884,1306,BellaG,2010-10-29,Interoffice,Verify Doc. Info.,Update Family Information,2010-11-08,1,Complete,
885,1307,BellaG,2010-10-29,Interoffice,Verify address,Update Family Information,2010-11-15,1,Complete,
890,1163,DeborahW,2010-11-01,Welcome Baby UWAY 801-691-5320,Called 2nd time to see if she's still interested.,Connected?,2010-11-15,1,No response from family,
891,1304,DeborahW,2010-11-01,"Turning Point  801-863-7580 (childcare, GED)","called, couldn't talk. Will call Monday.",Connected?,2010-11-08,1,No response from family,
893,1291,NylaR,2011-01-24,Interoffice,Called family for more info. 1/24/11 NR,Update Family Information,2011-01-24,1,Client cannot be reached,
895,1309,RobinL,2010-11-03,Other,F/u w/ EI in Sandy in 1 mo.EI Salt Lake County,Relay Information,2010-11-03,1,Received service,
924,1315,,,East Shore High School (former Alpine Life & Learning),,,,0,,
926,1303,BellaG,2010-11-10,Interoffice,Want an email with of resources in the area,Research,2010-11-15,1,Complete,
927,1316,BarbaraL,2010-11-18,Community Action Food Bank  801-373-8200,Grandma is concerned with mom not having adequate help but teen mom is very stubborn.,Connected?,2010-11-23,1,Complete,
928,1316,BarbaraL,2010-11-18,Pregnancy Resource Center  801-221-2591,made an appointment.,Connected?,2010-11-23,1,Received service,
929,1316,BarbaraL,2010-11-18,Kids on the Move  801-221-9930 (Eileen Chamberlain),,Connected?,2010-11-23,1,Information received by client,
939,1316,BarbaraL,2010-11-29,Interoffice,Left Message will call back,Connected?,2010-11-30,1,Complete,
945,1316,BarbaraL,2010-12-02,Interoffice,,Connected?,2010-12-06,1,Complete,
947,1327,,2010-12-06,Mountainland Headstart program  801-375-7981,,Connected?,2010-12-13,0,,
973,1333,DeborahW,2011-01-05,Interoffice,Called 1/18/11 dw left message,Research,2011-01-18,1,Complete,
974,1334,DeborahW,2011-01-05,Interoffice,Called Arlaine with PAT and they only help to age 5. other resources?,Research,2011-01-06,1,Service Not Received,
975,1332,RobinL,2011-01-04,"Turning Point  801-863-7580 (childcare, GED)","for  childcare, GED",Connected?,2011-01-20,1,Information received by client,
979,1328,BarbaraL,2011-01-06,Interoffice,Needs to call back UCHD on 24th to see if they have a car seat for her. She is expecting twins.,Verify Improvement,2011-01-24,1,Complete,
983,1241,RobinL,2010-11-20,Other,Qwest - make sure computer is working,Verify Improvement,2011-01-30,1,Resources exhausted,
985,1274,DeborahW,2011-01-12,Informational resources,"doctors info/permission, if she wants to start ASQ again",Update Family Information,2011-01-19,1,Resources exhausted,
990,1343,BarbaraL,2011-01-14,Pregnancy Resource Center  801-221-2591,Mom is taking classes and feels they are very helpful.,Connected?,2011-01-21,1,Received service,
991,1343,BarbaraL,2011-01-14,Community Action Food Bank  801-373-8200,Mom went to CA to apply for diapers,Connected?,2011-01-21,1,Service Not Received,
994,1334,DeborahW,2011-01-14,Ipromise Foundation 801-472-9780,"thought I promise could help him b/c of his record, they couldn't.",Connected?,2011-01-14,1,Service Not Received,
1000,1346,BarbaraL,2011-01-21,Kids on the Move  801-221-9930 (Eileen Chamberlain),Need to find a prenatal program that would help with a family.,Relay Information,2011-01-26,1,Information received by client,
1001,1346,BarbaraL,2011-01-21,Intermountain West Interpreters,Professional Interpreters. Spanish sign or spanish lip reading,Relay Information,2011-01-26,1,Information received by client,
1002,1346,BarbaraL,2011-01-21,Robert G. Sanderson Community Center for the Deaf & Hard of Hearing,offer classes and could do an evaluation of needs.,Relay Information,2011-01-26,1,Information received by client,
1003,1340,BrookeP,2011-01-20,Kids on the Move  801-221-9930 (Eileen Chamberlain),,Research,2011-01-27,1,Complete,
1009,1343,BarbaraL,2011-01-25,Community Action Food Bank  801-373-8200,Mom will try again to see if available at this time,Connected?,2011-02-01,1,Service not received,
1010,1349,BarbaraL,2011-01-25,Grandfamilies of Utah County  (801) 373-4765,Referred for Classes in February 24th,Connected?,2011-02-25,1,No follow through by client,
1011,1346,BarbaraL,2011-01-25,Interoffice,Left mssg for Lori with number for KOTM-Ronnie,Connected?,2011-01-26,1,Complete,
1013,1342,RobinL,2011-02-01,Interoffice,deb called 3/14 - interested in ASQ. Mailed 3/14/11 dw,Still interested?,2011-02-23,1,No response from family,
1020,1120,BarbaraL,2011-01-28,Interoffice,Tried to call mom to get followup on ASQ-information,Update Family Information,2011-02-04,1,Complete,
1021,1120,BarbaraL,2011-01-14,Interoffice,ASQ-area of child social behavior mom marked unsure wanted a few more details,Update Family Information,2011-01-28,1,Complete,
1034,1357,RobinL,2011-07-25,Harmony Music Therapy 801-718-7637,Jaycie Voorhies will call family,Connected?,2011-08-01,1,Received service,
1035,1357,RobinL,2011-07-01,"Utah Parent Center 801 272 1051, 800 468 1160",Utah Parent Center Sibshops/family activities for children w/special needs; email sent 7/5; web calendar for activities,Connected?,2011-07-07,1,Information received by client,
1043,1340,BrookeP,2011-01-31,Kids on the Move  801-221-9930 (Eileen Chamberlain),"Called, left a message",Connected?,2011-01-31,1,Left Message,
1044,1340,BrookeP,2011-02-07,Kids on the Move  801-221-9930 (Eileen Chamberlain),"Called, left a message",Connected?,2011-02-07,1,Left Message,
1045,1120,BarbaraL,2011-02-08,Interoffice,Will contact through hv. Very hard to contact,Update Family Information,2011-02-15,1,Complete,
1051,1361,BarbaraL,2011-02-10,Interoffice,Called left message will call back,Connected?,2011-02-11,1,Left Message,
1054,1363,DeborahW,2011-02-10,Interoffice,Center for Change etc.,Research,2011-02-10,1,Information received by client,
1057,1365,DeborahW,2011-02-10,Interoffice,"Research autism resources, classes. Also financial assistance for the $200/month that she has to spend for him to go to Horizons",Research,2011-02-14,1,Complete,
1065,1332,RobinL,2011-02-11,Interoffice,"GET MORE DETAIL, DR,ETC",Still interested?,2011-02-19,1,No response from family,
1068,1340,BrookeP,2011-02-14,Kids on the Move  801-221-9930 (Eileen Chamberlain),Emailed to see how things worked out,Connected?,2011-02-14,1,Information received by client,
1069,1367,BrookeP,2011-02-14,Interoffice,Emailed with resources 2/22/2011,Research,2011-02-21,1,Information received by client,
1070,1344,RobinL,2011-02-01,Interoffice,ACS disability worker--pt moving to Oregon w/sister,Connected?,2011-02-15,1,Information received by client,
1077,1361,BarbaraL,2011-02-15,Interoffice,left message. Will call again.,Connected?,2011-02-18,1,Left Message,
1078,1328,BarbaraL,2011-02-15,Interoffice,Just a followup to see if mom was connected to car seats.,Connected?,2011-02-22,1,Complete,
1079,1221,BarbaraL,2011-02-14,Interoffice,Michelle was moving 2/14/11. Get new address and re-send 42 mo ASQ,Update Family Information,2011-02-21,1,Complete,
1088,1370,BarbaraL,2010-02-18,Informational Resources,,Connected?,2011-02-25,1,,
1091,1373,RobinL,2011-02-01,Welcome Baby UWAY 801-691-5320,"not interested in WB, but wants ASQ",Still interested?,2011-02-21,1,Service Not Received,
1095,1374,RobinL,2011-02-24,Family Support and Treatment  801-229-1181,Love and Limits Class,Connected?,2011-06-01,1,Outcome unknown,
1110,1347,BrookeP,2011-02-24,Mountainland Community Health  801-429-2000 (Lori Wright),"She's feeling reassured, not so important now to get the kids tested.",Connected?,2011-03-03,1,Received service,
1115,1332,RobinL,2011-03-01,Welcome Baby UWAY 801-691-5320,Check w/Welcome Baby if active,Connected?,2011-05-15,1,Information received by client,
1126,1291,NylaR,2011-03-02,Interoffice,I called and left a message today. 3/2/11 NR,Update Family Information,2011-03-02,1,Client cannot be reached,
1128,1351,NylaR,2011-02-23,Family to Family Network,I called and spoke with Mary Anderson the granmother and gave her this resource. They are unable to afford tutors and other resources at this time.,Connected?,2011-03-02,1,Parent not interested in service,
1138,1354,BarbaraL,2011-03-04,Nebo School District  801-354-7400,Gave mom resources for L&L at neighborhood preschool.,Connected?,2011-03-18,1,Complete,
1139,1354,BarbaraL,2011-03-04,Kids on the Move  801-221-9930 (Eileen Chamberlain),Gave mom Laurie's direct line to be assesssd for services.,Connected?,2011-03-18,1,Received service,
1140,1364,DeborahW,2011-03-04,Pregnancy Resource Center  801-221-2591,Called and left message. We'll wait for the famliy to call us. Close file. MC,Connected?,2011-03-28,1,No response from family,
