Referral ID,Referral
1142,Specialist
1156,Informational resources
1166,Grandfamilies of Utah County  (801) 373-4765
1167,Timpanogos Legal Center  801-722-5804
1173,Community Action Food Bank  801-373-8200
1175,Family Justice Center-UCHD Tuesday evenings
1195,Pregnancy Resource Center  801-221-2591
1196,Specialist
1198,Childcare Resource and Referal  801-863-8220 (Julia)
1199,LDS Family Services  801-422-7620
1200,"Turning Point  801-863-7580 (childcare, GED)"
1201,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
1202,Alcoholics Anon
1207,NAMI
1208,CHADD 801-789-3952
1210,Specialist
1212,BYU Comprehensive Clinic 801-422-7759
1213,Sons of Helaman-877-hero877
1214,LifeStar-801-318-5378 C
1264,The Utah Family Academy (801) 377-5050
1265,Informational resources
1269,Community Action Food Bank  801-373-8200
1270,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
1272,Pregnancy Resource Center  801-221-2591
1275,Informational resources
1276,PEIP  801-852-4525 (Beri)
1284,"Utah Parent Center 801 272 1051, 800 468 1160"
1295,Family Support and Treatment  801-229-1181
1298,Mountainland Community Health  801-429-2000 (Lori Wright)
1299,Pregnancy Resource Center  801-221-2591
1300,Family Justice Center-UCHD Tuesday evenings
1304,Community Action Food Bank  801-373-8200
1305,Family Support and Treatment  801-229-1181
1306,Childcare Resource and Referal  801-863-8220 (Julia)
1307,Catholic Community Services
1309,Informational resources
1310,Informational resources
1318,Community Action Food Bank  801-373-8200
1319,Family Support and Treatment  801-229-1181
1325,Pregnancy Resource Center  801-221-2591
1327,Informational resources
1331,Community Action Food Bank  801-373-8200
1341,Ecclesiastical Leader
1343,Utah County Health Department  801-851-7000
1350,East Shore High School (former Alpine Life & Learning)
1351,Community Action Food Bank  801-373-8200
1352,Utah Legal Services (800) 662-4245
1353,Family Support and Treatment  801-229-1181
1355,Family to Family Network
1356,BYU Law Help  801-422-3025
1357,Community Action Food Bank  801-373-8200
1358,Canary Gardens
1360,Provo School District  801-374-4840
1370,Welcome Baby UWAY 801-691-5320
1379,Informational resources
1381,Pregnancy Resource Center  801-221-2591
1392,Utah Legal Services (800) 662-4245
1398,The Children's Center 801-582-5534
1427,The Utah Family Academy (801) 377-5050
1438,CAST For KIDS
1458,Welcome Baby UWAY 801-691-5320
1459,Welcome Baby UWAY 801-691-5320
1461,Welcome Baby UWAY 801-691-5320
1466,Community Action Food Bank  801-373-8200
1467,"Utah Parent Center 801 272 1051, 800 468 1160"
1471,Pregnancy Resource Center  801-221-2591
1478,Mountainland Community Health  801-429-2000 (Lori Wright)
1482,Military Resources
1488,CHIP  801-342-2600 (DWS)
1489,"Turning Point  801-863-7580 (childcare, GED)"
1501,Informational resources
1502,Baby Your Baby  801-851-7033
1503,Pregnancy Resource Center  801-221-2591
1507,Healthcare Provider
1508,Centro Hispano  801-655-0258
1530,"Utah Parent Center 801 272 1051, 800 468 1160"
1532,Community Action Food Bank  801-373-8200
1544,Informational resources
1551,Kids on the Move  801-221-9930 (Eileen Chamberlain)
1552,"Bridges, KOTM  801-616-5800"
1553,Family Support and Treatment  801-229-1181
1561,Harmony Music Therapy 801-718-7637
1562,"Utah Parent Center 801 272 1051, 800 468 1160"
1593,"Utah Parent Center 801 272 1051, 800 468 1160"
1605,South Valley Sanctuary West Jordan: Main/24hr: (801) 255-1095
1610,Center for Women and Children in Crisis (CWCIC)
1611,Family Justice Center-UCHD Tuesday evenings
1634,Informational resources
1645,Grandfamilies of Utah County  (801) 373-4765
1648,Informational resources
1653,BYU Comprehensive Clinic 801-422-7759
1656,Nebo School District  801-354-7400
1667,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
1686,Utah State Office of Education
1687,Website
1702,PEIP  801-852-4525 (Beri)
1706,Grandfamilies of Utah County  (801) 373-4765
1708,Division of Child and Family Services  801-374-7257
1721,Childcare Resource and Referal  801-863-8220 (Julia)
1722,"Turning Point  801-863-7580 (childcare, GED)"
1723,Informational resources
1729,Childcare Resource and Referal  801-863-8220 (Julia)
1730,Mountainland Community Health  801-429-2000 (Lori Wright)
1736,Welcome Baby UWAY 801-691-5320
1738,Family Support and Treatment  801-229-1181
1739,Department of Workforce Services
1741,Welcome Baby Health Department  801-851-7059
1748,PEIP  801-852-4525 (Beri)
1760,Grandfamilies of Utah County  (801) 373-4765
1765,Pregnancy Resource Center  801-221-2591
1766,Welcome Baby Health Department  801-851-7059
1769,Informational resources
1771,PCN  801-342-2600 (DWS)
1779,Kids Who Count 801-423-3000 (Liz)
1783,BYU Comprehensive Clinic 801-422-7759
1784,Nebo School District  801-354-7400
1785,Family Support and Treatment  801-229-1181
1801,Mountainland Community Health  801-429-2000 (Lori Wright)
1802,LDS Family Services  801-422-7620
1803,Pregnancy Resource Center  801-221-2591
1804,Informational resources
1826,BYU Comprehensive Clinic 801-422-7759
1835,Informational resources
1836,BYU Comprehensive Clinic 801-422-7759
1839,Utah Baby Watch
1840,"Utah Parent Center 801 272 1051, 800 468 1160"
1849,LDS Employment  801-818-6161
1850,Mountainland Community Health  801-429-2000 (Lori Wright)
1851,Community Health Connect  801-818-3015
1853,Department of Workforce Services
1861,Kids on the Move  801-221-9930 (Eileen Chamberlain)
1862,Informational resources
1865,BYU Comprehensive Clinic 801-422-7759
1872,Community Health Connect  801-818-3015
1873,"Mountainland Family Health Center, 801-429-2000"
1874,Grandfamilies of Utah County  (801) 373-4765
1875,Provo School District  801-374-4840
1876,Informational resources
1883,BYU Comprehensive Clinic 801-422-7759
1884,U Can Learn 801-281-5546
1894,Kids on the Move  801-221-9930 (Eileen Chamberlain)
1926,Aquatic Therapy Easter Seals
1928,Pediatrician/Primary Care Provider
1931,Nebo School District  801-354-7400
1937,"Utah Parent Center 801 272 1051, 800 468 1160"
1938,The Green House Center for Change and Learning
1950,Informational resources
1952,Informational resources
1957,"Bridges, KOTM  801-616-5800"
1958,"Utah Parent Center 801 272 1051, 800 468 1160"
1959,BYU Comprehensive Clinic 801-422-7759
1960,Now I Can Foundation Tracey 376-4588
1961,"Lehi Literacy Center, 801-407-1025"
1978,Library
1987,Informational resources
1997,Informational resources
2001,Utah County Health Department  801-851-7000
2004,The Utah Family Academy (801) 377-5050
2006,Community Action Food Bank  801-373-8200
2007,Department of Workforce Services
2011,"Turning Point  801-863-7580 (childcare, GED)"
2012,BYU Comprehensive Clinic 801-422-7759
2013,Family Support and Treatment  801-229-1181
2014,The Utah Family Academy (801) 377-5050
2037,Alpine School District 801-756-8400
2038,BYU Comprehensive Clinic 801-422-7759
2039,Family Support and Treatment  801-229-1181
2040,Nebo School District  801-354-7400
2041,Provo School District  801-374-4840
2046,Nebo School District  801-354-7400
2072,BYU Comprehensive Clinic 801-422-7759
2073,Division of Services for People with Disabilities  801-343-3900 (Dave Hennessey)
2089,"Turning Point  801-863-7580 (childcare, GED)"
2104,"Turning Point  801-863-7580 (childcare, GED)"
2110,Headstart
2116,Family Support and Treatment  801-229-1181
2117,Mountainland Community Health  801-429-2000 (Lori Wright)
2118,Center for Women and Children in Crisis (CWCIC)
2120,Kids Who Count 801-423-3000 (Liz)
2122,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2123,Childcare Resource and Referal  801-863-8220 (Julia)
2124,Website
2128,BYU Comprehensive Clinic 801-422-7759
2131,"Utah Parent Center 801 272 1051, 800 468 1160"
2132,Nebo School District  801-354-7400
2142,"Utah Parent Center 801 272 1051, 800 468 1160"
2146,Children with Special Heath Care Needs 801-584-8284
2147,"Utah Parent Center 801 272 1051, 800 468 1160"
2159,Informational resources
2164,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2171,Autism Council of Utah  801-913-6203
2186,LDS Family Services  801-422-7620
2191,Welcome Baby Health Department  801-851-7059
2206,Orem Literacy Center 801-221-5844
2207,U Can Learn 801-281-5546
2210,Grandfamilies of Utah County  (801) 373-4765
2223,Welcome Baby Health Department  801-851-7059
2242,"Mountainland Family Health Center, 801-429-2000"
2244,"Bridges, KOTM  801-616-5800"
2245,BYU Comprehensive Clinic 801-422-7759
2246,Easter Seals PLAY Project  801-536-7065
2259,Parks & Recreation
2262,UVU Continuing Education
2263,Other
2272,Department of Workforce Services
2273,Childcare Resource and Referal  801-863-8220 (Julia)
2276,BYU Comprehensive Clinic 801-422-7759
2277,Family Support and Treatment  801-229-1181
2284,LDS Family Services  801-422-7620
2286,Welcome Baby Health Department  801-851-7059
2290,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2304,Informational resources
2312,BYU Comprehensive Clinic 801-422-7759
2313,Utah Family Academy 801-377-5050
2316,Grandfamilies of Utah County  (801) 373-4765
2329,Informational resources
2331,Informational resources
2345,Welcome Baby UWAY 801-691-5320
2360,Family Support and Treatment  801-229-1181
2368,Childcare Resource and Referal  801-863-8220 (Julia)
2370,BYU Comprehensive Clinic 801-422-7759
2371,"Turning Point  801-863-7580 (childcare, GED)"
2374,Informational resources
2375,"Bridges, KOTM  801-616-5800"
2377,"Utah Parent Center 801 272 1051, 800 468 1160"
2378,BYU Comprehensive Clinic 801-422-7759
2436,Family Support and Treatment  801-229-1181
2441,Informational resources
2442,Community Health Connect  801-818-3015
2445,UVU Continuing Education
2460,Welcome Baby Health Department  801-851-7059
2461,Family Support and Treatment  801-229-1181
2462,Informational resources
2472,BYU Comprehensive Clinic 801-422-7759
2495,"Turning Point  801-863-7580 (childcare, GED)"
2514,Ability First Provo 801-373-5044 x205
2517,Friday Kid's Respite  801-494-9837
2525,LDS Family Services  801-422-7620
2529,Utah County Health Department  801-851-7000
2580,Other
2588,Division of Child and Family Services  801-374-7257
2589,Family Support and Treatment  801-229-1181
2595,PEIP  801-852-4525 (Beri)
2596,Community Action Food Bank  801-373-8200
2600,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2611,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2612,"Utah Parent Center 801 272 1051, 800 468 1160"
2626,Department of Workforce Services
2627,Provo City Library
2628,Disability Law Center  801-363-1377
2629,Other
2633,Other
2635,South Franklin Community Center 801-374-2588
2667,Welcome Baby UWAY 801-691-5320
2672,Department of Workforce Services
2673,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
2698,"Utah Parent Center 801 272 1051, 800 468 1160"
2703,Informational resources
2705,Family Support and Treatment  801-229-1181
2720,"Utah Parent Center 801 272 1051, 800 468 1160"
2754,"Utah Parent Center 801 272 1051, 800 468 1160"
2759,Center for Women and Children in Crisis (CWCIC)
2760,Family Support and Treatment  801-229-1181
2761,Family Justice Center-UCHD Tuesday evenings
2765,BYU Law Help  801-422-3025
2766,Timpanogos Legal Center  801-722-5804
2767,Utah Legal Services (800) 662-4245
2778,Mountainland Headstart program  801-375-7981
2780,Informational resources
2789,"Utah Parent Center 801 272 1051, 800 468 1160"
2800,"Utah Parent Center 801 272 1051, 800 468 1160"
2809,Autism Journeys Treatment Center 801-766-8681
2810,Kids on the Move  801-221-9930 (Eileen Chamberlain)
2815,Childcare Resource and Referal  801-863-8220 (Julia)
2857,Website
2861,Grandfamilies of Utah County  (801) 373-4765
2903,Informational resources
2905,Medicaid 1-866-435-7414
2915,Division of Child and Family Services  801-374-7257
2926,Welcome Baby UWAY 801-691-5320
2948,Childcare Resource and Referal  801-863-8220 (Julia)
2961,Website
2962,Website
2979,Baby Your Baby  801-851-7033
2980,Medicaid 1-866-435-7414
2991,"Children's Center, SLC"
2998,IHC
3016,Welcome Baby UWAY 801-691-5320
3020,WIC Provo 801-851-7300
3038,Informational resources
3049,Kids on the Move  801-221-9930 (Eileen Chamberlain)
3050,"Utah Parent Center 801 272 1051, 800 468 1160"
3082,Childcare Resource and Referal  801-863-8220 (Julia)
3089,Informational resources
3116,Grandfamilies of Utah County  (801) 373-4765
3117,Informational resources
3122,Kids Who Count 801-423-3000 (Liz)
3127,Family Support and Treatment  801-229-1181
3149,Informational resources
3153,Informational resources
3158,Informational resources
3159,Primary Children's Hospital
3172,Welcome Baby UWAY 801-691-5320
3178,Allies with families 877-477-0764
3217,Housing Authority
3222,Website
3237,Grandfamilies of Utah County  (801) 373-4765
3238,Community Action Food Bank  801-373-8200
3249,"Utah Parent Center 801 272 1051, 800 468 1160"
3252,Access Utah Network  800-333-8824
3253,Website
3274,IHC
3286,Nebo School District  801-354-7400
3301,BYU Comprehensive Clinic 801-422-7759
3302,"Utah Parent Center 801 272 1051, 800 468 1160"
3304,Children with Special Heath Care Needs 801-584-8284
3350,Family Support and Treatment  801-229-1181
3351,Provo School District  801-374-4840
3368,Friday Kid's Respite  801-494-9837
3448,Informational resources
3470,Other
3500,Lehi Legacy Center 801-768-7124
3501,Nebo School District  801-354-7400
3506,Kids on the Move  801-221-9930 (Eileen Chamberlain)
3507,"USU Extension  801-851-8479, 800-662-4245"
3515,"USU Extension  801-851-8479, 800-662-4245"
3546,Utah County Health Department  801-851-7000
3547,Nebo School District  801-354-7400
3551,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
3581,Informational resources
3595,CHADD 801-789-3952
3597,"Turning Point  801-863-7580 (childcare, GED)"
3631,Centro Hispano  801-655-0258
3678,Parents as Teachers (PAT)
3679,Library
3680,Recreation Center
3682,Website
3688,"Cornerstone Counseling Center, 801-355-2846"
3701,"Utah Parent Center 801 272 1051, 800 468 1160"
3703,"Utah Parent Center 801 272 1051, 800 468 1160"
3709,Legal Aid Society of Salt Lake
3719,Centro Hispano  801-655-0258
3747,Pediatrician/Primary Care Provider
3768,"Turning Point  801-863-7580 (childcare, GED)"
3773,Utah County government department
3783,Medicaid 1-866-435-7414
3800,Salt Lake 211
3801,Housing Authority
3802,The Road Home
3815,Parents as Teachers (PAT)
3848,"Utah Parent Center 801 272 1051, 800 468 1160"
3849,Website
3852,Rehabilitation Services  801-374-7724
3854,Website
3855,Other
3901,Informational resources
3921,Informational resources
3934,"Utah Parent Center 801 272 1051, 800 468 1160"
3935,AAA fair credit  801-483-0999
3936,Family to Family Network
3947,"Utah Parent Center 801 272 1051, 800 468 1160"
3984,AAA fair credit  801-483-0999
3992,Informational resources
4018,Easter Seals PLAY Project  801-536-7065
4026,"Family Academy, 801-377-5050"
4082,Parks & Recreation
4085,Informational resources
4110,Informational resources
4121,Family Support and Treatment  801-229-1181
4169,Grandfamilies of Utah County  (801) 373-4765
4199,Kids on the Move  801-221-9930 (Eileen Chamberlain)
4222,Wiggly Worm-Sensory Processing Class 801-946-1860
4224,Military Resources
4228,Family Support and Treatment  801-229-1181
4229,Nebo School District  801-354-7400
4230,Alpine School District 801-756-8400
4233,The Green House Center for Change and Learning
4234,Pregnancy Resource Center  801-221-2591
4235,Ready to Learn Class/Website
4236,Kids on the Move  801-221-9930 (Eileen Chamberlain)
4237,Family Support and Treatment  801-229-1181
4238,BYU Comprehensive Clinic 801-422-7759
4239,Parents as Teachers (PAT)
4242,BYU Comprehensive Clinic 801-422-7759
4243,Nebo School District  801-354-7400
4245,Community Action Food Bank  801-373-8200
4246,Pregnancy Resource Center  801-221-2591
4247,Ecclesiastical Leader
4251,BYU Center for Service & Learning 801-422-8686 (Access/Impact)
4253,Welcome Baby Health Department  801-851-7059
4257,BYU Comprehensive Clinic 801-422-7759
4258,Grandfamilies of Utah County  (801) 373-4765
4259,Nebo School District  801-354-7400
4260,Springville Family Center 801-971-7751
4261,Informational resources
4262,Family Support and Treatment  801-229-1181
4263,Specialist
4264,Informational resources
4265,Division of Child and Family Services  801-374-7257
4266,Specialist
4271,BYU Comprehensive Clinic 801-422-7759
4272,Lehi Legacy Center 801-768-7124
4273,Informational resources
4274,Lehi Legacy Center 801-768-7124
4275,Community Action Food Bank  801-373-8200
4280,Provo School District  801-374-4840
4281,Early Headstart (801-221-9930 Ronnie)
4286,"Utah Parent Center 801 272 1051, 800 468 1160"
4288,Family Support and Treatment  801-229-1181
4296,Community Action Food Bank  801-373-8200
4297,Deseret Industries  801-373-7920
4298,BYU Comprehensive Clinic 801-422-7759
4299,Informational resources
4300,Catholic Community Services
4301,Salt Lake 211
4302,"Turning Point  801-863-7580 (childcare, GED)"
4303,Pregnancy Resource Center  801-221-2591
4304,Community Action Food Bank  801-373-8200
4305,"Turning Point  801-863-7580 (childcare, GED)"
4307,Pregnancy Resource Center  801-221-2591
4308,Lehi Legacy Center 801-768-7124
4309,Mountainland Community Health  801-429-2000 (Lori Wright)
4311,Grandfamilies of Utah County  (801) 373-4765
4325,Informational resources
4328,Centro Hispano  801-655-0258
4329,Pregnancy Resource Center  801-221-2591
4346,Medicaid 1-866-435-7414
4348,Headstart
4350,Informational resources
4352,Alpine School District 801-756-8400
4353,Informational resources
4355,American Pediatric Website
4377,"Utah Parent Center 801 272 1051, 800 468 1160"
4378,Ability Found  801-261-5738 (Ernest Robinson)
4379,United Angels Foundation
4380,Informational resources
4381,American Pediatric Website
4382,Welcome Baby UWAY 801-691-5320
4383,Family Support and Treatment  801-229-1181
4384,LDS Family Services  801-422-7620
4385,Informational resources
4386,Informational resources
4387,Informational resources
4388,Informational resources
4389,Interoffice
4390,Informational resources
4391,Informational resources
4392,Nebo School District  801-354-7400
4393,Community Health Connect  801-818-3015
4394,Community Health Connect  801-818-3015
4395,Informational resources
4396,Informational resources
4397,Informational resources
4398,Informational resources
4399,Informational resources
4400,Informational resources
4401,Interoffice
4402,Alpine School District 801-756-8400
4403,BYU Comprehensive Clinic 801-422-7759
4404,Kids on the Move  801-221-9930 (Eileen Chamberlain)
4405,Headstart
4406,CHIP  801-342-2600 (DWS)
4407,Interoffice
4408,"Utah Parent Center 801 272 1051, 800 468 1160"
4409,Lehi Legacy Center 801-768-7124
4410,Utah County government department
4411,Alpine School District 801-756-8400
4412,UVU Continuing Education
4413,Community Action Food Bank  801-373-8200
4414,Department of Workforce Services
4415,Department of Workforce Services
4416,Informational resources
4417,Informational resources
4418,Informational resources
4419,Department of Workforce Services
4420,Other
4421,
4422,Pregnancy Resource Center  801-221-2591
4423,Welcome Baby UWAY 801-691-5320
4424,"Turning Point  801-863-7580 (childcare, GED)"
4425,Ipromise Foundation 801-472-9780
4426,BYU Comprehensive Clinic 801-422-7759
4427,Harmony Music Therapy 801-718-7637
4428,"Utah Parent Center 801 272 1051, 800 468 1160"
4429,Interoffice
4430,"Intermountain Pediatric Rehab, Orem, 801-714-3505"
4431,Easter Seals PLAY Project  801-536-7065
4432,Informational resources
4433,Alpine School District 801-756-8400
4434,Informational resources
4435,Welcome Baby UWAY 801-691-5320
4436,Welcome Baby Health Department  801-851-7059
4437,Interoffice
4438,The Children's Center 801-582-5534
4439,Interoffice
4440,Headstart
4441,Mountainland Community Health  801-429-2000 (Lori Wright)
4442,"Turning Point  801-863-7580 (childcare, GED)"
4443,BYU Comprehensive Clinic 801-422-7759
4444,Grandfamilies of Utah County  (801) 373-4765
4445,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
4446,Childcare Resource and Referal  801-863-8220 (Julia)
4447,Childcare Resource and Referal  801-863-8220 (Julia)
4448,Sub for Santa 801-356-6200
4449,Utah County Health Promotions-Car Seats 801-851-7035
4450,Vantage Point  801-373-2215
4451,Informational resources
4452,Childcare Resource and Referal  801-863-8220 (Julia)
4453,Interoffice
4454,Informational resources
4455,"Utah Parent Center 801 272 1051, 800 468 1160"
4456,"Utah Parent Center 801 272 1051, 800 468 1160"
4457,Wasatch Mental Health  801-373-4760 (Adult services) 801-377-1213 (Children services)
4458,BYU Comprehensive Clinic 801-422-7759
4459,Lehi Legacy Center 801-768-7124
4460,Lehi Legacy Center 801-768-7124
4461,"Turning Point  801-863-7580 (childcare, GED)"
4462,LDS Employment  801-818-6161
4463,Interoffice
4464,Informational resources
4465,Informational resources
4466,Interoffice
4467,Family Support and Treatment  801-229-1181
4468,CHADD 801-789-3952
4469,Informational resources
4470,Informational resources
4471,Informational resources
4472,Interoffice
4473,Interoffice
4474,Orem Literacy Center 801-221-5844
4475,U Can Learn 801-281-5546
4477,Holy Cross Ministries 801-261-3440 x748
4478,Holy Cross Ministries 801-261-3440 x748
4479,Interoffice
4480,Medicaid 1-866-435-7414
4481,Interoffice
4482,Easter Seals-Goodwill
4483,Centro Hispano  801-655-0258
4484,Pregnancy Resource Center  801-221-2591
4485,Granite School District Preschool
4486,
4487,Family Resource Facilitator
4488,"Conscious Fathering,  Utah County"
4489,Informational resources
4490,"Activities, ASQ3 Activities"
4491,Informational resources
4492,Kearns Library Autism Group
4493,Informational resources
4494,Parks & Recreation
4495,CHIP  801-342-2600 (DWS)
4496,Kids on the Move  801-221-9930 (Eileen Chamberlain)
4497,Informational resources
4498,"Turning Point  801-863-7580 (childcare, GED)"
4499,Other
4500,Childcare Resource and Referal  801-863-8220 (Julia)
4501,Informational resources
4502,Informational resources
4503,CHIP  801-342-2600 (DWS)
4504,
4505,CHIP  801-342-2600 (DWS)
4506,"Turning Point  801-863-7580 (childcare, GED)"
4507,Department of Workforce Services
4508,Website
4509,Family to Family Network
4510,
4511,Childcare Resource and Referal  801-863-8220 (Julia)
4512,Informational resources
4513,
4514,Welcome Baby UWAY 801-691-5320
4515,Informational resources
4517,Welcome Baby UWAY 801-691-5320
4518,Informational resources
4519,Informational resources
4520,Informational resources
4521,
4522,Department of Workforce Services
4524,Welcome Baby UWAY 801-691-5320
4525,Ready to Learn Class/Website
4526,
4527,Interoffice
4528,ASQ
4529,ASQ
4530,ASQ
4531,ASQ
4532,
4533,
4534,Informational resources
4535,Family Justice Center-UCHD Tuesday evenings
4536,Center for Women and Children in Crisis (CWCIC)
4537,ASQ
4538,ASQ
4539,
4540,Welcome Baby Health Department  801-851-7059
4541,Kids Who Count 801-423-3000 (Liz)
4542,Family Resource Facilitator
4543,"Activities, ASQ3 Activities"
4544,"Utah Parent Center 801 272 1051, 800 468 1160"
4545,Community Action Food Bank  801-373-8200
4546,Centro Hispano  801-655-0258
